                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1733,                0.85958,                 2.0687,                0.98665,                0.98413,                0.99147,                0.71378,                 2.0622,                0.70889,                 2.0412,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.1513,                0.86312,                 2.0533,                0.97994,                0.96944,                0.99297,                0.73167,                 2.0261,                0.72644,                 2.0451,               0.001307,               0.001307,               0.001307
                     37,                 2.1541,                0.85274,                  2.056,                0.98289,                0.97817,                 0.9943,                0.72381,                 2.0798,                0.70899,                 2.0494,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.1396,                0.84882,                 2.0688,                0.96892,                0.98214,                0.99352,                0.71673,                  2.102,                0.72708,                 2.0608,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.1994,                0.85678,                 2.0752,                0.98774,                0.95922,                0.99308,                0.71892,                 2.0645,                0.72023,                 2.0755,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.171,                0.82718,                 2.0516,                0.98148,                0.98413,                0.99281,                0.71972,                 2.0818,                0.72439,                 2.0536,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.1545,                0.84717,                  2.058,                 0.9892,                0.97222,                0.99368,                0.72451,                 2.0533,                0.72083,                 2.0404,               0.001208,               0.001208,               0.001208
                     42,                 2.1574,                0.85057,                 2.0629,                 0.9802,                0.98214,                0.99398,                 0.7281,                 2.0329,                0.71182,                 2.0441,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1222,                0.81773,                 2.0431,                0.97413,                0.94246,                  0.991,                0.71755,                 2.0551,                0.75291,                 2.0555,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.1436,                0.84013,                 2.0636,                0.97228,                0.97423,                0.99316,                0.73386,                 2.0321,                 0.7224,                 2.0053,              0.0011486,              0.0011486,              0.0011486
                     45,                  2.169,                0.84693,                 2.0733,                0.95874,                0.98016,                0.99242,                 0.7249,                 2.0459,                   0.73,                  2.022,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.1764,                0.86262,                 2.0801,                0.95575,                 0.9857,                0.99311,                0.73773,                 2.0353,                0.71595,                 2.0242,               0.001109,               0.001109,               0.001109
                     47,                 2.0964,                0.81407,                 2.0503,                0.97738,                0.98214,                0.99295,                0.72186,                 2.0422,                 0.7024,                 2.0482,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.1573,                0.82563,                 2.0556,                0.98231,                0.99154,                0.99458,                0.73333,                 2.0503,                  0.684,                 2.0443,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.0799,                 0.7963,                 2.0331,                0.98464,                0.97222,                0.99382,                0.71579,                 2.1229,                0.70461,                 2.0892,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.1196,                0.81019,                 2.0354,                0.96886,                0.98214,                0.99369,                 0.7265,                 2.0483,                0.69916,                  2.038,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.1232,                0.81648,                 2.0581,                0.98669,                0.98611,                0.99472,                0.72381,                 2.0729,                0.67822,                 2.0531,                0.00101,                0.00101,                0.00101
                     52,                 2.1172,                0.79871,                 2.0433,                0.98006,                0.98214,                0.99429,                0.73537,                 2.0125,                0.69993,                 2.0263,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.0838,                0.78611,                 2.0541,                 0.9905,                0.98016,                0.99445,                0.74108,                 2.0012,                0.67327,                 2.0023,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.1108,                0.77964,                 2.0459,                 0.9885,                0.98413,                0.99447,                0.72882,                  2.043,                0.67343,                 2.0504,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.0658,                0.78786,                  2.028,                0.98592,                0.97232,                0.99411,                0.73904,                 2.0155,                  0.661,                 2.0003,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0613,                0.78167,                 2.0228,                0.99006,                0.98776,                0.99468,                0.73737,                  1.989,                0.65087,                  2.008,               0.000911,               0.000911,               0.000911
                     57,                 2.0522,                0.77747,                 2.0259,                0.98865,                0.99405,                0.99478,                0.74232,                 1.9852,                0.65121,                 2.0209,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.0621,                0.77543,                 2.0206,                0.99401,                 0.9878,                0.99488,                0.74439,                 2.0149,                 0.6432,                 2.0209,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.0203,                0.76181,                 2.0305,                0.98614,                0.98809,                0.99476,                0.74197,                 2.0025,                0.65795,                 2.0117,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.0782,                0.77285,                 2.0451,                0.99402,                0.98968,                0.99494,                0.73939,                 2.0198,                0.64853,                 2.0353,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.0448,                0.76214,                 2.0311,                 0.9906,                0.98214,                0.99461,                0.73936,                 2.0157,                0.65349,                 2.0078,               0.000812,               0.000812,               0.000812
                     62,                 2.0367,                0.76516,                 2.0249,                0.98747,                0.99405,                0.99472,                0.74064,                 1.9871,                0.64127,                 2.0276,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.0321,                 0.7546,                 2.0239,                 0.9881,                0.98857,                0.99464,                0.72845,                 2.0052,                0.65735,                 2.0243,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.0492,                0.76796,                 2.0269,                0.97702,                0.98611,                0.99386,                0.73105,                 2.0407,                0.67818,                 2.0459,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.0214,                0.77492,                 2.0158,                0.98797,                0.97768,                0.99432,                0.74063,                  2.002,                0.65734,                  2.014,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.0055,                0.75249,                 2.0267,                0.98795,                0.99008,                0.99478,                0.74896,                 1.9738,                0.63175,                 2.0062,               0.000713,               0.000713,               0.000713
                     67,                 2.0173,                0.76544,                 2.0276,                0.98032,                0.98836,                0.99448,                0.73015,                 2.0265,                0.66194,                 2.0436,              0.0006932,              0.0006932,              0.0006932
                     68,                  2.012,                 0.7225,                 1.9921,                0.99402,                0.98954,                0.99486,                0.73886,                 2.0048,                0.64542,                 2.0229,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.0222,                0.74631,                 2.0318,                  0.996,                0.98719,                 0.9948,                0.73842,                 1.9919,                0.63759,                 2.0167,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.0149,                0.74396,                 2.0002,                0.98791,                0.97242,                0.99431,                0.73312,                 2.0277,                0.66502,                 2.0373,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.9897,                0.74597,                 2.0078,                0.99542,                0.97817,                0.99448,                0.73866,                  1.977,                 0.6385,                 1.9992,               0.000614,               0.000614,               0.000614
                     72,                 2.0152,                0.72687,                 2.0097,                0.99391,                0.97184,                0.99439,                0.73682,                 2.0034,                0.65347,                 2.0282,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.9868,                  0.712,                 2.0021,                0.98236,                0.99418,                 0.9948,                0.72507,                 2.0612,                0.64469,                 2.0358,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.987,                0.73288,                 2.0009,                0.98409,                0.98151,                0.99413,                0.73934,                 1.9678,                0.64657,                 2.0096,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.9993,                0.73646,                 2.0116,                0.99112,                0.98214,                 0.9946,                0.75018,                 1.9329,                0.63161,                 2.0006,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.9468,                0.72541,                 1.9939,                0.99399,                0.98464,                0.99476,                0.74295,                 1.9962,                0.63287,                 2.0477,               0.000515,               0.000515,               0.000515
                     77,                 1.9687,                0.71369,                 2.0081,                0.98166,                 0.9881,                0.99445,                0.75118,                 1.9385,                0.62766,                 2.0108,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.9397,                0.70315,                 1.9996,                 0.9953,                0.98016,                 0.9948,                0.74331,                 1.9925,                0.63032,                 2.0234,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.9568,                 0.7129,                 1.9836,                0.99203,                0.98727,                 0.9947,                0.74249,                 1.9464,                0.61735,                 1.9958,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9427,                 0.7231,                 1.9991,                0.99195,                0.97848,                0.99454,                0.74485,                 2.0041,                0.62982,                 2.0139,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.9315,                0.71762,                 1.9995,                0.99599,                0.98552,                0.99488,                0.74305,                 1.9715,                0.61684,                 2.0202,               0.000416,               0.000416,               0.000416
                     82,                 1.9322,                0.70686,                 1.9832,                0.99249,                0.98214,                0.99476,                0.74549,                 1.9988,                0.62547,                  2.027,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.9561,                0.70035,                 1.9929,                0.99398,                0.98242,                0.99461,                0.73878,                  2.011,                0.63003,                 2.0304,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9376,                0.70808,                 1.9914,                0.98815,                 0.9929,                0.99476,                0.75078,                 1.9426,                0.60597,                 2.0092,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9193,                0.69307,                 1.9795,                0.98813,                0.99074,                0.99462,                0.73333,                 2.0288,                0.62987,                 2.0546,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.8668,                  0.679,                 1.9622,                0.99399,                0.98485,                0.99478,                 0.7438,                 1.9583,                0.61105,                 2.0187,               0.000317,               0.000317,               0.000317
                     87,                 1.9109,                0.69738,                 1.9842,                      1,                0.98506,                0.99475,                0.74435,                  1.946,                 0.6068,                  1.997,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.9354,                0.68653,                 1.9779,                0.99529,                0.98016,                0.99472,                0.74548,                 1.9611,                0.60833,                  2.005,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.9051,                0.68058,                 1.9606,                0.99599,                0.98639,                0.99488,                0.74845,                  1.972,                0.59992,                 2.0196,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9324,                 0.6898,                 1.9818,                0.99205,                0.99099,                0.99492,                 0.7393,                 1.9857,                0.60917,                 2.0374,              0.0002378,              0.0002378,              0.0002378
